email,score,real
email,0.998,1
email,0.99,1
email,0.99,1
email,0.99,1
email,0.988,1
email,0.988,1
email,0.988,1
email,0.986,1
email,0.986,1
email,0.984,1
email,0.984,1
email,0.984,1
email,0.982,1
email,0.982,1
email,0.98,1
email,0.978,1
email,0.978,1
email,0.978,1
email,0.976,1
email,0.976,1
email,0.976,1
email,0.976,1
email,0.976,1
email,0.976,1
email,0.974,1
email,0.974,1
email,0.972,1
email,0.972,1
email,0.972,1
email,0.97,1
email,0.97,1
email,0.968,1
email,0.968,1
email,0.968,1
email,0.968,1
email,0.968,1
email,0.966,1
email,0.966,1
email,0.966,1
email,0.966,1
email,0.966,1
email,0.964,1
email,0.964,1
email,0.964,1
email,0.964,1
email,0.964,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.962,1
email,0.96,0
email,0.96,1
email,0.956,1
email,0.956,1
email,0.956,1
email,0.954,1
email,0.954,1
email,0.952,1
email,0.952,1
email,0.952,1
email,0.952,1
email,0.952,1
email,0.95,1
email,0.95,1
email,0.95,1
email,0.948,1
email,0.948,1
email,0.948,1
email,0.946,0
email,0.946,1
email,0.946,1
email,0.946,1
email,0.946,0
email,0.946,1
email,0.946,1
email,0.946,1
email,0.944,1
email,0.944,1
email,0.944,1
email,0.942,1
email,0.942,1
email,0.942,1
email,0.942,1
email,0.94,1
email,0.94,1
email,0.94,1
email,0.938,1
email,0.938,1
email,0.938,0
email,0.936,1
email,0.936,1
email,0.936,1
email,0.936,1
email,0.936,1
email,0.934,1
email,0.934,1
email,0.934,1
email,0.932,1
email,0.93,1
email,0.93,1
email,0.928,1
email,0.928,1
email,0.928,1
email,0.928,1
email,0.928,1
email,0.928,1
email,0.928,1
email,0.926,1
email,0.926,1
email,0.926,1
email,0.926,1
email,0.926,1
email,0.924,1
email,0.924,0
email,0.924,1
email,0.924,0
email,0.924,1
email,0.922,1
email,0.922,1
email,0.922,1
email,0.922,1
email,0.922,1
email,0.922,1
email,0.92,1
email,0.92,1
email,0.92,1
email,0.92,1
email,0.92,1
email,0.918,1
email,0.918,1
email,0.918,0
email,0.918,1
email,0.918,1
email,0.916,1
email,0.916,1
email,0.916,0
email,0.916,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.914,1
email,0.912,1
email,0.912,1
email,0.912,1
email,0.912,1
email,0.91,1
email,0.91,1
email,0.91,1
email,0.91,1
email,0.91,1
email,0.91,1
email,0.91,1
email,0.908,1
email,0.908,1
email,0.908,1
email,0.906,0
email,0.906,1
email,0.906,1
email,0.906,1
email,0.906,1
email,0.906,1
email,0.906,1
email,0.906,1
email,0.904,1
email,0.904,0
email,0.904,1
email,0.904,0
email,0.904,1
email,0.904,1
email,0.902,1
email,0.902,1
email,0.9,1
email,0.9,1
email,0.9,1
email,0.898,1
email,0.898,1
email,0.898,1
email,0.898,1
email,0.896,1
email,0.896,1
email,0.896,1
email,0.896,1
email,0.894,1
email,0.894,0
email,0.894,1
email,0.892,1
email,0.892,1
email,0.892,1
email,0.892,1
email,0.892,1
email,0.892,1
email,0.89,1
email,0.89,0
email,0.89,1
email,0.89,1
email,0.89,1
email,0.89,1
email,0.89,1
email,0.886,0
email,0.886,1
email,0.886,1
email,0.886,1
email,0.886,1
email,0.886,1
email,0.886,0
email,0.886,1
email,0.886,1
email,0.884,1
email,0.884,1
email,0.884,1
email,0.884,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.882,1
email,0.88,1
email,0.878,1
email,0.878,1
email,0.876,1
email,0.874,1
email,0.874,1
email,0.874,1
email,0.874,1
email,0.874,1
email,0.874,1
email,0.872,1
email,0.872,1
email,0.872,1
email,0.872,1
email,0.872,1
email,0.872,1
email,0.872,1
email,0.87,0
email,0.87,1
email,0.87,0
email,0.868,1
email,0.868,1
email,0.868,1
email,0.868,1
email,0.866,1
email,0.866,1
email,0.866,1
email,0.866,1
email,0.866,0
email,0.866,1
email,0.866,0
email,0.866,0
email,0.864,1
email,0.864,1
email,0.864,1
email,0.864,1
email,0.862,1
email,0.862,1
email,0.862,1
email,0.862,1
email,0.86,1
email,0.86,1
email,0.86,1
email,0.858,1
email,0.858,1
email,0.858,1
email,0.858,1
email,0.858,1
email,0.858,1
email,0.858,1
email,0.856,1
email,0.856,1
email,0.856,1
email,0.856,1
email,0.856,1
email,0.854,0
email,0.854,1
email,0.854,1
email,0.854,1
email,0.852,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.85,1
email,0.848,1
email,0.848,1
email,0.848,1
email,0.848,1
email,0.846,1
email,0.846,1
email,0.844,1
email,0.844,1
email,0.844,1
email,0.842,1
email,0.842,1
email,0.842,1
email,0.842,1
